rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,id,senti_lst,label,score
4,12 mg is 12 on the periodic table people! Mg for magnesium,"This review is more to clarify someone else’s review bc they didn’t understand understand the labeling!  It shows 1000mg as advertised & another little label says 12mg bc 12 is on the periodic table for magnesium!  I realize not everyone takes chemistry, but 4 ppl liked his review & so misinformation is spreading.  This works. If however you are on opiate level medications that are causing constipation you should talk to your pain dr or your gastrointestinal dr & ask for a medication called Linzess which works must better & must faster, but is unnecessary for most people.  If magnesium is working for you just make sure to take it with food & drink 6-8 glasses of water per day.  Staying hydrated will really help.  Before switching to Linzess I used to take one 1,000 mg pill am & pm every day with meals & always with an 8 ounce glass of water or other liquid.",[],B07TDSJZMR,B07TDSJZMR,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,2020-02-06 00:49:35.902,3,True,1,"('NEGATIVE', 0.9783133864402771)",NEGATIVE,0.9783133864402771
5,Save the lanet using less plastic.,Love these easy multitasking bleach tablets. Beats carrying home a big old jug of bleach.Walmark has been out of them since pademic hit and was so glad to find hear.,[],B08637FWWF,B08637FWWF,AEVWAM3YWN5URJVJIZZ6XPD2MKIA,2020-11-02 22:03:06.880,3,True,2,"('POSITIVE', 0.9991826415061951)",POSITIVE,0.9991826415061951
5,Fantastic,"I have been suffering a couple months with heel pain from plantar fasciitis.  I thought I'd give these a try and wow, I was surprised at how much they cut down on the pain.  I wish they came in a tighter and thicker version.",[],B07KJVGNN5,B07KJVGNN5,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,2019-07-24 11:13:58.905,0,True,3,"('NEGATIVE', 0.9696903824806213)",NEGATIVE,0.9696903824806213
4,It holds the water and makes bubbles.  That's what I bought it for.,"It's cheap and it does what I wanted.  The ""massage"" function is a joke though.  It comes with 3 little plastic parts that you can scrape your feet on.  Not sure why they even bothered with that.  But it's nicer than sticking your feet in a plain tub.",[],B007HY7GC2,B092RP73CX,AEZGPLOYTSAPR3DHZKKXEFPAXUAA,2022-09-04 02:29:02.725,7,True,4,"('NEGATIVE', 0.9919633865356445)",NEGATIVE,0.9919633865356445
1,Not for me,Didn't do a thing for me. Not saying they don't. just not for me..,[],B08KYJLF5T,B08KYJLF5T,AEQAYV7RXZEBXMQIQPL6KCT2CFWQ,2022-01-20 23:53:07.262,0,True,5,"('NEGATIVE', 0.9975878000259399)",NEGATIVE,0.9975878000259399
5,Every home should have these,"I have never been big on vitamins, with the exception of the occasional multi-vitamin. However, during the pandemic, I started on a daily regimen of taking Vitamin C, Vitamin D3 and Zinc every morning and an additional Vitamin C at night. This is a large bottle of three hundred tablets (enough to last me for three months). I typically take all my vitamins on an empty stomach and I have had no ill side effects from doing so. Everyone should be taking these daily to strengthen your immune system (even if you are vaccinated). Highly recommend!",[],B09GBMG83Z,B09GBMG83Z,AFSKPY37N3C43SOI5IEXEK5JSIYA,2022-02-21 00:14:54.796,1,False,6,"('POSITIVE', 0.9841381907463074)",POSITIVE,0.9841381907463074
4,Versatile shaver,"To be honest, my husband did not use this for a balding head. He wanted to try it for his face and for nose/ear hairs. This is his review. This was a nice man's shaver. It has several attachments which are easy to change out and install. The shave I got was super close and it was easy to maneuver it over the contours of my face. I have to admit it is one of the best shaves I have had in the past few years and for the money it is a good deal. The nose trimmer worked well with no pain or irritation. Highly recommend.",[],B09FKT5PQ9,B09FKT5PQ9,AFSKPY37N3C43SOI5IEXEK5JSIYA,2022-02-07 20:38:46.005,0,False,7,"('POSITIVE', 0.9983637928962708)",POSITIVE,0.9983637928962708
4,Makes a nice compact noise machine to take with you when traveling,"This is a nice basic sound machine. I have used sound machines for years now to aid in getting a quality night's sleep. I have been using Alexa for the past year or so for my sound machine, so I was actually looking for a machine I could take with me when I travel. This is really nice, super compact and can go everywhere. My deduction of a star is only because of the loop, I can her it when the system reaches it's 90 second interval. However, once I am asleep it is barely noticeable and has not disturbed my travel sleep. I will keep this is my overnight bag and will continue to use it when away from home.",[],B08THJD1MH,B08THJD1MH,AFSKPY37N3C43SOI5IEXEK5JSIYA,2021-04-08 18:45:34.645,0,False,8,"('POSITIVE', 0.9922720193862915)",POSITIVE,0.9922720193862915
5,Great drawstring holiday bags!,"This are super colorful great gift giving holiday bags and tags. I always give smaller gifts to neighbors (sometimes home made baked goods, sometimes a bottle of wine). These bags are perfect for this. The drawstring is made of ribbon and seals the bag well. These would also be great for packaging teacher's gifts or for family gifting. Highly recommend. Nice variety, nice colors!",[],B08FCQML37,B08FCQML37,AFSKPY37N3C43SOI5IEXEK5JSIYA,2020-12-15 21:15:39.529,0,False,9,"('POSITIVE', 0.9998494386672974)",POSITIVE,0.9998494386672974
3,Not as good as the name brand whitening strips but they do work,"I guess the only product I have in my history of teeth whitening is Crest strips. These do not truly compare to them. These did not cling as well to my teeth as the Crestdo (I had to keep readjusting to assure they would stay in place). As far as actual whitening, I did see a slight improvement in the whiteness of my teeth. The big plus here is that these are about 1/2 the price of Crest. So, if you are looking to save some money, these might be great for you.",[],B08GYM3HVP,B08GYM3HVP,AFSKPY37N3C43SOI5IEXEK5JSIYA,2020-10-14 21:25:18.369,0,False,10,"('NEGATIVE', 0.9958051443099976)",NEGATIVE,0.9958051443099976
5,Great hair dryer gets the job done quickly!,"This Jinri hair dryer is among one of the best I have ever owned. Strong and powerful, my hair dries super quick. It has varying speeds and heat levels which allows me to dry and style my hair at the same time. It also fits well in my hand, is relatively light weight, and I can maneuver from the front to back of my head easily. I love this red color as well and it matches my decor perfectly. Highly recommend if you are in the market for a new, quality hair dryer at a reasonable price.",[],B0895LW9LL,B0895LW9LL,AFSKPY37N3C43SOI5IEXEK5JSIYA,2020-10-03 20:32:25.389,0,False,11,"('POSITIVE', 0.9997939467430115)",POSITIVE,0.9997939467430115
4,Beware of the sizing on these,"For positives, these are really nice, soft leggings. Super stretchy, high waisted and a deep rich black color. For negatives, they are too small for me. I am 5'7"" and weigh about 150 lbs and they do not fit comfortably (definitely too tight). I will be washing them and giving them to my daughter in law who is much thinner. I really liked these, just too bad they aren't a tad more stretchier.",[],B07W51YFGQ,B07W51YFGQ,AFSKPY37N3C43SOI5IEXEK5JSIYA,2019-09-20 10:41:36.968,0,False,12,"('NEGATIVE', 0.6994820237159729)",NEGATIVE,0.6994820237159729
5,Great reasonably priced shower filter!,"I live in Florida where hard water is definitely an issue. I just purchased my house last September, and recently retired, and I am trying to be careful on spending money. Many of my neighbors have been installing whole house water systems and although I do think at sometime in the future I will look into it, this filter has helped me at least in the shower. I can tell the water is better since I installed it (yes, installation was super easy for me) and my hair feels so much softer and I see less spots on the shower glass doors. For the money, this is a great shower filter and I highly recommend it.",[],B07PKLN99K,B07PKLN99K,AFSKPY37N3C43SOI5IEXEK5JSIYA,2019-06-01 20:36:21.258,0,False,13,"('POSITIVE', 0.9901396632194519)",POSITIVE,0.9901396632194519
4,Great vitamin supplement to add to your smoothie routine!,"Great way to supplement your daily smoothie/fruit/veggie shake with vitamins. Given that this is certified organic, Vegan & Non-GMO, it is a great all natural way to give your body an extra boost of Vitamin C. I am deleting a star simply because when I first tried to mix this in just juice, I saw that the powder does not mix well (my juice was cloudy). However, I started instead to mix it with my smoothies and it worked perfectly. No taste, blends well when the mixture is thicker.",[],B07J3F4KLJ,B07XVVVB8W,AFSKPY37N3C43SOI5IEXEK5JSIYA,2019-02-01 11:10:42.625,0,False,14,"('POSITIVE', 0.990085244178772)",POSITIVE,0.990085244178772
5,Great daily vitamin for the older woman's body!,"This is my new favorite daily vitamin. Totally Vegan, easy to swallow and fills all the daily requirements of my 60+aged body. I have a tendency to skip breakfast most days a week and this vitamin agrees with an empty stomach (no aftertaste, burping, or unpleasant stomach rumblings). This is a lot cheaper than my usual Centrum formula so Amazon has once again turned me away from name brands and over to their store brand names. I highly recommend for any woman over age 40 who cares about their health!",[],B075DLLC57,B0C6H6RRVB,AFSKPY37N3C43SOI5IEXEK5JSIYA,2018-01-13 18:55:47.736,4,False,15,"('POSITIVE', 0.996875524520874)",POSITIVE,0.996875524520874
5,"Great probiotic and great taste, too!","I have a mild form of IBS and have been taking probiotics (in pill form) for years now. I thought I would try something different by using a chewable variety and I was thrilled when I saw this. I was a little skeptical with the title of 'Dark Chocolate' and it brought back memories as a kid of chocolate Ex-lax flavoring. Boy, was I pleasantly surprised! The flavor of this chewable probiotic is absolutely amazing. It actually makes me look forward to taking my daily probiotic to help keep my IBS in check. Since taking this, I do feel better and my bloating issues have definitely decrease. As we all know probiotics are good bacteria and everyone (even without IBS issues) should be taking probiotics daily just to help your digestive system perform optimally. If you are looking for a type of probiotic that you can actually like taking, and you love chocolate, this Digestive Advantage Dark Chocolate will definitey fill the bill!",[],B06XSX3DMW,B06XSX3DMW,AFSKPY37N3C43SOI5IEXEK5JSIYA,2017-06-07 21:04:25.412,0,False,16,"('POSITIVE', 0.9991563558578491)",POSITIVE,0.9991563558578491
5,"Great taste, consistency and supports my workout regime totally!","Great pre and post workout mix. Yes, it has aspartane but then again, the last thing I want in my diet is more sugar. I thought the taste was a little sweet, so I did dilute this more than the recommended mixture (you will probably need to do the same depending on your taste). High in electrolytes and protein, this is great for my Florida workouts with the heat and humidity (and I lose more water sweating than in probably any other area of the country). I was previously a Gatorade drinker, but I honestly prefer this Science in Sport and will be buying more.",[],B01N9SEOSO,B07NPNNR3P,AFSKPY37N3C43SOI5IEXEK5JSIYA,2017-04-21 14:24:26.000,0,False,17,"('POSITIVE', 0.9965268969535828)",POSITIVE,0.9965268969535828
5,returned,it was a nice tray  smaller than i expected but my walker has  rubber grips and the tray didnt fit over it  - now what do i do ?  buy a new walker ?  idk what to do to be honest  im assuming all trays will have the same issue due to those grips  companies should realize walkers come with grips and make the trays fit either or somehow,[],B01H0SVP9O,B01H0SVP9O,AHGAOIZVODNHYMNCBV4DECZH42UQ,2020-11-11 14:54:54.192,0,True,18,"('NEGATIVE', 0.9992061257362366)",NEGATIVE,0.9992061257362366
5,Love this!,"This not only provides a nice scent, but it's also a great way to disinfect & remove wrinkles.<br /><br />Please Lysol, never stop making this, it's an amazing product!",[],B09HR8V212,B09HR8V212,AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,2022-11-27 01:21:26.580,3,True,19,"('POSITIVE', 0.9996803998947144)",POSITIVE,0.9996803998947144
5,Best smoothing & shaping set out there!,I love this set & definitely will be purchasing more in the future! This set has everything you need to smooth & shape the nails. I highly recommend!,[],B07N5MY8DL,B07N5MY8DL,AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,2019-10-19 14:14:09.680,0,True,20,"('POSITIVE', 0.9998708963394165)",POSITIVE,0.9998708963394165
5,Very good product.,Does a great job cleaning.,[],B00BR1FSU8,B00BR1FSU8,AHY7ZJB523OPTIKXRI63PS2V6FSQ,2019-04-20 18:04:43.017,0,True,21,"('POSITIVE', 0.9997053742408752)",POSITIVE,0.9997053742408752
1,talc free body spray,"Purchased this for my husband because it would be less messy than regular powder.  It IS less messy than regular powder, however, it doesn't work as well.  And it is oddly... greasy?  He reports that it is lotiony in a weird way.  Since you usually use powder to keep areas and creases dry.  If it's lotiony or greasy, not so much.<br />If you're hoping for a replacement for powder - this isn't it - at least in my husband's opinion.",[],B08W5FL1BT,B08W5FL1BT,AFZUK3MTBIBEDQOPAK3OATUOUKLA,2021-06-17 20:39:09.505,1,True,22,"('NEGATIVE', 0.9994266033172607)",NEGATIVE,0.9994266033172607
